Season,Natural Key,Name,Nation,Positions,Squad_ID,Squad,Born
2017,8637e09a,Vincent Aboubakar,cm CMR,FW,5e876ee6,pt Porto,1992
2017,81442ecb,Marcos Acuña,ar ARG,"FW,DF",13dc44fd,pt Sporting CP,1991
2017,c81d773d,Tosin Adarabioyo,eng ENG,DF,b8fd03ef,eng Manchester City,1997
2017,9d8586c4,Adriano,br BRA,DF,0f9294bd,tr Beşiktaş,1984
2017,2557c196,Luiz Adriano,br BRA,"FW,MF",8c635914,ru Spartak Moscow,1987
2017,42a632ba,Ansi Agolli,al ALB,DF,44b65410,az Qarabağ,1982
2017,4d034881,Sergio Agüero,ar ARG,FW,b8fd03ef,eng Manchester City,1988
2017,0ff9eabc,Karim El Ahmadi,ma MAR,MF,fb4ca611,nl Feyenoord,1985
2017,5d91cf0f,Valon Ahmedi,al ALB,"MF,FW",2aae7689,si NK Maribor,1994
2017,2b1c4abd,Albian Ajeti,ch SUI,FW,d3d9424a,ch Basel,1997
2017,89ac64a6,Manuel Akanji,ch SUI,DF,d3d9424a,ch Basel,1995
2017,42ec696a,Igor Akinfeev,ru RUS,GK,f0c0c2c2,ru CSKA Moscow,1986
2017,05439de2,David Alaba,at AUT,DF,054efa67,de Bayern Munich,1992
2017,4601e194,Jordi Alba,es ESP,DF,206d90db,es Barcelona,1989
2017,4bd414c1,Raúl Albiol,es ESP,DF,d48ad4ff,it Napoli,1985
2017,a7a9d95a,Paco Alcácer,es ESP,FW,206d90db,es Barcelona,1993
2017,77e84962,Thiago Alcántara,es ESP,MF,054efa67,de Bayern Munich,1991
2017,f7d50789,Toby Alderweireld,be BEL,DF,361ca564,eng Tottenham,1989
2017,cd1acf9d,Trent Alexander-Arnold,eng ENG,DF,822bd0ba,eng Liverpool,1998
2017,e044ce1e,Nektarios Alexandrou,cy CYP,"DF,MF",eab315a6,cy APOEL FC,1983
2017,7a2e46a8,Alisson,br BRA,GK,cf74a709,it Roma,1992
2017,cc700722,Allan,br BRA,MF,d48ad4ff,it Napoli,1991
2017,cea4ee8f,Dele Alli,eng ENG,"MF,FW",361ca564,eng Tottenham,1996
2017,67b3d74b,André Almeida,pt POR,DF,a77c513e,pt Benfica,1990
2017,ba6e52b0,André Almeida Pinto,pt POR,DF,13dc44fd,pt Sporting CP,1989
2017,bdf8165d,Richard Almeida,az AZE,MF,44b65410,az Qarabağ,1989
2017,cb7786d5,Stathis Aloneftis,cy CYP,"FW,MF",eab315a6,cy APOEL FC,1983
2017,f4290206,Marcos Alonso,es ESP,"DF,MF",cff3d9bb,eng Chelsea,1990
2017,8ce30c57,Éder Álvarez Balanta,co COL,DF,d3d9424a,ch Basel,1993
2017,c9e99e49,Dani Alves,br BRA,DF,e2d8892c,fr Paris S-G,1983
2017,5a2cb25d,Sofyan Amrabat,ma MAR,"MF,DF",fb4ca611,nl Feyenoord,1996
2017,9f31b1d3,André André,pt POR,"MF,FW",5e876ee6,pt Porto,1989
2017,2a70dcc9,Thanasis Androutsos,gr GRE,FW,2fdb4aef,gr Olympiacos,1997
2017,632e0184,Minas Antoniou,cy CYP,FW,eab315a6,cy APOEL FC,1994
2017,91976866,Mirko Antonucci,it ITA,FW,cf74a709,it Roma,1999
2017,feb5d3ab,Dennis Appiah,fr FRA,"DF,MF",08ad393c,be Anderlecht,1992
2017,2f965a72,Alphonse Areola,fr FRA,GK,e2d8892c,fr Paris S-G,1993
2017,97333cf5,Stuart Armstrong,sct SCO,MF,b81aa4fa,sct Celtic,1992
2017,963a328b,Tolgay Arslan,de GER,MF,0f9294bd,tr Beşiktaş,1990
2017,089550f5,Kwadwo Asamoah,gh GHA,DF,e0652b02,it Juventus,1988
2017,45af8a54,Marco Asensio,es ESP,"MF,FW",53a2f082,es Real Madrid,1996
2017,d5dd5f1f,Pierre-Emerick Aubameyang,ga GAB,FW,add600ae,de Dortmund,1989
2017,97bfa797,Jean-Kévin Augustin,fr FRA,FW,acbb6a5b,de RB Leipzig,1997
