Season,Round,Week,Day,Date,Time,Home,xG_Home,Score,xG_Away,Away,Attendance,Venue,Referee,Match Report
2017,Group stage,1,Tue,2025-03-21-19:07:29,19:45 (01:45),Celtic sct,0.4,0–5,2.5,fr Paris S-G,57562,Celtic Park,Daniele Orsato,855684cf
2017,Group stage,1,Tue,2025-03-21-19:07:29,19:45 (01:45),Manchester Utd eng,3.4,3–0,0.6,ch Basel,73854,Old Trafford,Ruddy Buquet,a27a806e
2017,Group stage,1,Tue,2025-03-21-19:07:29,20:45 (01:45),Barcelona es,0.9,3–0,0.7,it Juventus,78656,Camp Nou,Damir Skomina,9badc434
2017,Group stage,1,Tue,2025-03-21-19:07:29,20:45 (01:45),Bayern Munich de,4.2,3–0,0.8,be Anderlecht,70000,Allianz Arena,Paolo Tagliavento,be4af035
2017,Group stage,1,Wed,2025-03-21-19:07:29,19:45 (01:45),Liverpool eng,2.4,2–2,1.2,es Sevilla,52332,Anfield,Danny Makkelie,9528d840
2017,Group stage,1,Wed,2025-03-21-19:07:29,19:45 (01:45),Tottenham eng,1.2,3–1,0.8,de Dortmund,67343,Wembley Stadium,Gianluca Rocchi,ab1ad65c
2017,Group stage,1,Wed,2025-03-21-19:07:29,20:45 (01:45),Real Madrid es,3.9,3–0,0.2,cy APOEL FC,71060,Estadio Santiago Bernabéu,Benoît Bastien,fd3ebb28
2017,Group stage,2,Tue,2025-03-21-19:07:29,20:45 (01:45),Dortmund de,1.2,1–3,3.2,es Real Madrid,65849,Signal Iduna Park,Björn Kuipers,2c58d390
2017,Group stage,2,Wed,2025-03-21-19:07:29,20:00 (23:00),Qarabağ az,0.9,1–2,1.9,it Roma,67200,Bakı Olimpiya Stadionu,Artur Soares Dias,e5d01fff
2017,Group stage,2,Wed,2025-03-21-19:07:29,20:45 (01:45),Atlético Madrid es,1.4,1–2,2.5,eng Chelsea,60643,Estadio Wanda Metropolitano,Cüneyt Çakιr,1df64d2e
2017,Group stage,3,Tue,2025-03-21-19:07:29,20:45 (01:45),Real Madrid es,2.9,1–1,0.9,eng Tottenham,76589,Estadio Santiago Bernabéu,Szymon Marciniak,971e1bcb
2017,Group stage,3,Wed,2025-03-21-19:07:29,19:45 (01:45),Benfica pt,0.5,0–1,0.6,eng Manchester Utd,57684,Estádio do Sport Lisboa e Benfica,Felix Zwayer,18d65101
2017,Group stage,3,Wed,2025-03-21-19:07:29,20:45 (01:45),Barcelona es,3.5,3–1,0.2,gr Olympiacos,55026,Camp Nou,William Collum,395e54ba
2017,Group stage,3,Wed,2025-03-21-19:07:29,20:45 (01:45),Bayern Munich de,3.2,3–0,0.6,sct Celtic,70000,Allianz Arena,Sergey Karasev,aae24353
2017,Group stage,4,Tue,2025-03-21-19:07:29,19:45 (02:45),Celtic sct,1.4,1–2,0.7,de Bayern Munich,58269,Celtic Park,Danny Makkelie,2eb85b86
2017,Group stage,4,Tue,2025-03-21-19:07:29,19:45 (02:45),Manchester Utd eng,2.7,2–0,0.9,pt Benfica,74437,Old Trafford,Gediminas Mažeika,c810fb4b
2017,Group stage,4,Tue,2025-03-21-19:07:29,20:45 (02:45),Atlético Madrid es,3.2,1–1,0.2,az Qarabağ,55893,Estadio Wanda Metropolitano,Deniz Aytekin,0e2c3dc9
2017,Group stage,4,Tue,2025-03-21-19:07:29,20:45 (02:45),Roma it,1.5,3–0,1.3,eng Chelsea,55036,Stadio Olimpico,Jonas Eriksson,2cb50eb1
2017,Group stage,4,Wed,2025-03-21-19:07:29,19:45 (02:45),Tottenham eng,2.3,3–1,2.2,es Real Madrid,83782,Wembley Stadium,Cüneyt Çakιr,21830d60
2017,Group stage,4,Wed,2025-03-21-19:07:29,20:45 (02:45),Dortmund de,2.8,1–1,0.6,cy APOEL FC,64500,Fußballpark BVB Hohenbuschei,Matej Jug,35b4cf49
2017,Group stage,5,Tue,2025-03-21-19:07:29,20:45 (02:45),Dortmund de,1.1,1–2,1.1,eng Tottenham,65849,Signal Iduna Park,Clément Turpin,9e4e2580
