Season,Natural Key,Name,Nation,Positions,Squad_ID,Squad,Born
2024,f586779e,Tammy Abraham,eng ENG,FW,dc56fe14,it Milan,1997
2024,b96b595c,Francesco Acerbi,it ITA,DF,d609edc0,it Inter,1988
2024,ee926a02,Arijan Ademi,mk MKD,MF,edd0d381,hr Dinamo Zagreb,1991
2024,501055d8,Karim Adeyemi,de GER,"FW,MF",add600ae,de Dortmund,2002
2024,dcfb17f4,Amine Adli,ma MAR,"MF,FW",c7a9f859,de Leverkusen,2000
2024,8b0f9fb8,Vasilije Adžić,me MNE,FW,e0652b02,it Juventus,2006
2024,f9c927de,Michel Aebischer,ch SUI,MF,1d8099f8,it Bologna,1997
2024,d810c13b,Emanuel Aiwum,at AUT,DF,3f4fe568,at Sturm Graz,2000
2024,462475ed,Ludovic Ajorque,fr FRA,FW,fb08dbb3,fr Brest,1994
2024,89ac64a6,Manuel Akanji,ch SUI,DF,b8fd03ef,eng Manchester City,1995
2024,eaeca114,Nathan Aké,nl NED,DF,b8fd03ef,eng Manchester City,1995
2024,b625b241,Maghnes Akliouche,fr FRA,"FW,MF",fd6114db,fr Monaco,2002
2024,f28659fb,Kerem Aktürkoğlu,tr TUR,FW,a77c513e,pt Benfica,1998
2024,05439de2,David Alaba,at AUT,DF,53a2f082,es Real Madrid,1992
2024,cd1acf9d,Trent Alexander-Arnold,eng ENG,DF,822bd0ba,eng Liverpool,1998
2024,7a2e46a8,Alisson,br BRA,GK,822bd0ba,eng Liverpool,1992
2024,15ab5a2b,Julián Álvarez,ar ARG,"FW,MF",db3b9613,es Atlético Madrid,2000
2024,24fc70d3,Mohamed Aly Camara,gn GUI,DF,4b682260,ch Young Boys,1997
2024,22721b88,Jordan Amavi,fr FRA,DF,fb08dbb3,fr Brest,1994
2024,2ee5b0c9,Zeki Amdouni,ch SUI,"FW,MF",a77c513e,pt Benfica,2000
2024,ef9c1c95,Benjamin André,fr FRA,MF,cb188c0c,fr Lille,1990
